id,label1,label2,label3,score1,score2,score3
a8df14bc,资管计划,,,0.49610821123341264,,
da1f7a3b,集合信托,信托理财,,0.45722303474896414,0.42483569433159074,
4a76109a,4k,,,0.3927364322978803,,
b035435d,数据中心,,,0.1946633035291701,,
b6514ace,云环境,,,0.37780785691779095,,
9ea39464,池塘,,,0.5538185881889951,,
d2e7c503,脱硫塔,玻璃钢脱硫除尘器,洗涤塔锅炉脱硫,0.6004049155723484,0.48617577432207426,0.40978935039808134
2b757ee9,甲醇,,,0.4667125254184057,,
558c250c,sdoc,fcc认证,voc,0.767920503065295,0.327350835827206,0.2714675686309368
10f3d644,无线mesh,物联网技术,,0.6970432111277451,0.4015283894591723,
557b8732,5g手机,,,0.3969602946815066,,
deaf1d6f,交量,主力资金,,0.356877986794295,0.2335624672281002,
49a62f34,期货市场,,,0.7189028815307273,,
39d3a763,一二线城市,二手房价,,0.50191561768189,0.26402479363571096,
6efe87f7,武汉,,,0.5323788334492158,,
ef68ef66,惊奇队长,,,0.5032621978560426,,
17c70218,青山,,,0.414530636339077,,
187f14e3,光电开关,itr,家电,0.45479466854337935,0.4054669102232393,0.39836196295843623
abb6f3c0,科兰通讯,邀请函,,0.5755885872553291,0.27349013229408164,
58be1914,区块链,比特币,落地,0.9362485248040572,0.26803492587357053,0.2375515563255364
a045249e,轴承位,风机,,0.500263665278768,0.46883686350975834,
a1da2bb6,亚马逊,,,0.9184252769113922,,
61d73358,广告,亚马逊站,卖家们,0.538184718074228,0.4874715043031196,0.22547164275751214
45471a82,亚马逊,,,0.8181619560450459,,
b2dc8043,facebook,,,0.7995192793225786,,
11c3ed6a,电路板,,,0.5792022998703514,,
fe2baa69,pet瓶,一步法,,0.6116329777353926,0.4840967053381801,
e9d80e1a,引流,,,0.15649513148328414,,
3827ef0a,沙滩清理车,design,,0.6551125241371565,0.46700582437040544,
6f337a18,中国,,,0.19502875784298682,,
8bc1ef44,人民日报,,,0.1579618095894329,,
d0ddfc74,交易所,纳斯达克,etf,0.4831566735847453,0.3843841038971642,0.33255756190838875
032fb8da,mq,,,0.5037935231632183,,
37efa1f0,科创板,董秘,,0.6697286577938878,0.5717852631350119,
a8c2f769,自动驾驶,uber,,0.7314369752141386,0.35203253731341716,
132c0774,洗沙厂,泥浆,沉淀剂,0.5544066696477435,0.4627888498293551,0.287832476563827
f1c33db5,养老,厦门市,,0.44239950000082706,0.23417783736680448,
c44abcaa,抗干扰性,,,0.1753486409752348,,
1ebaab20,保险代理,行业市场,,0.6600855283644441,0.3081074047878363,
6b972271,深交所,企业债,,0.5226114844651631,0.26715333631113963,
7dd5ff91,hurs,,,0.15816814827960016,,
26f68025,福布斯全球亿万富豪榜,美国,,0.47991273405235135,0.3507012203978781,
a1a36120,女明星,大长腿,,0.5895216062449224,0.48966038760431485,
6093dc8d,英特尔,amd,,0.9516948926013331,0.3590439661173825,
aed40fe4,资产证券化,abs,全国人大代表,0.4277116491971579,0.33022605793053234,0.3261238872561542
5dd3a4b0,湖北省,发展促进会,,0.6195713311984018,0.5155633520311328,
303416fc,seafolly,服饰智慧化管理,rfid技术,0.5941441606844678,0.5281090548914728,0.4047081238694174
8a2f4060,电机,热成像仪,,0.3184230280300498,0.30423087640771984,
2dd8d2d0,acorn,图像处理软件,formac,0.7544477195874232,0.5167038786475554,0.3279220675362583
f4b0f665,a股,三大股指,两市,0.6783488665755756,0.29605375986104715,0.23934740221619938
c9c33ced,100万,,,0.22201185827855952,,
09932f5e,油价,,,0.7581129039001904,,
eaa42b85,税前扣除凭证,增值税,,0.7622597743430617,0.31738035150023397,
6b8db02d,福汇,滑点,交易会,0.6038775152963428,0.46287111632943767,0.3445020791591187
bbe9c015,黄金,adp,,0.3927698415553028,0.2416719307351528,
3af634ea,cnc,,,0.3158707288962912,,
74b0c5d0,民生银行,武汉大学,青山,0.8054350761399475,0.2812101141116872,0.2542004223032518
8beb9716,交易,福汇,杠杆,0.29921955318808846,0.24469784813435227,0.2322217801778461
a4bf4908,平仓,福汇,,0.36052838438172347,0.24789240852587804,
c69d9fcc,小体量,,,0.21017013740155976,,
4610a552,个人住房贷款,,,0.6328081621175822,,
c739e1d0,swift,区块链,,0.5542548720172135,0.2649714300272523,
81088617,阿里速卖通,网上购车,俄罗斯,0.5558703688367631,0.4140678445730675,0.3200457830914114
b90a2fa0,易观,ar,,0.6722663400210654,0.23474696137376824,
30c412e9,swift,区块链,德意志银行,0.5909584833914472,0.46735734395082845,0.3821772843526791
09f3ae98,宇汇国际网,软件,mt4交易,0.5281403930005405,0.46205068521731235,0.329349062274337
a4b7360d,maxhub,会议平板,,0.381836456891337,0.26473475959289533,
6077007d,rystadenergy,,,0.42333597668120576,,
2eaac407,宁夏回族自治区,gdp总量,,0.5357115709401501,0.3530409122437331,
acbd1d5e,音乐会,汤沐海,俄罗斯,0.6482807283940789,0.31632740663840625,0.23277144364365035
56c959c7,bch,东京,,0.474187495327269,0.338541309951218,
c7647132,换屏,,,0.24363921285470308,,
d19857d7,xsmax,苹果,跑分,0.5995567395491339,0.356856693239915,0.3220305249569025
6b8bb390,图片压缩,,,0.6165436133110597,,
4f5f162b,python,,,0.6341695161337709,,
8418f265,网站,企业,,0.5637021886047072,0.4374902389056048,
77e97930,聚氨酯,丙烯酸,,0.43315564895296343,0.3975693217069114,
f327ed9b,青花,清康熙,市场行情,0.5411091862974468,0.4969285858320932,0.3534495389260471
2bcb0484,区块链,房地产,交易所,0.7758150051291517,0.43100034261287457,0.24391544363513668
0d4c388e,葡萄,,,0.44880316936625175,,
eb39b966,技术指标,mt4,福汇,0.46075014568843936,0.3373044481869662,0.31699027849569605
eda4c7ba,指导老师,炒外汇,沪深300,0.4134233522448116,0.39274901689889435,0.3434607391485459
358256e2,商标转让,,,0.7186972171812865,,
2adf31b3,黄金,areyou,,0.7223836972795189,0.31417645294142577,
cf9018d5,行情,,,0.06607899850315208,,
771d6003,尚智逢源,基金,,0.7783068756731933,0.2498723563525392,
5a20039c,宣传载体,广告机,,0.6210947736137381,0.2961947193919989,
cad8a387,清洁设备,工厂,,0.7077381508473031,0.3546469212527088,
